model,variant,workload_type,mean_replicas,std_replicas,mean_latency,p95_latency,p99_latency,max_latency,mean_cpu_mc,mean_success,sla_violations,scale_events,total_tokens,mean_llm_lat,steps,mean_rps,sla_pct
dqn,baseline,CPU,8.166666666666666,3.9859697919167454,91.14833333333333,232.87999999999997,303.08200000000005,386.1,552.3833333333333,1.0,8,24,0,0.0,120,753.675,93.33
dqn,baseline,IO,12.208333333333334,3.451697507933526,22.11916666666667,35.805,36.762,40.9,89.39166666666667,1.0,0,42,0,0.0,120,1418.5333333333333,100.0
hpa,baseline,CPU,2.591666666666667,1.0961800236538268,265.11083333333335,519.6049999999999,736.9090000000003,5018.0,522.6166666666667,0.9991666666666668,52,19,0,0.0,120,753.675,56.67
hpa,baseline,IO,1.0166666666666666,0.18257418583505536,28.6925,46.93,57.948,61.2,75.90833333333333,1.0,0,1,0,0.0,120,1418.5333333333333,100.0
keda,baseline,CPU,10.45,2.4898111703230716,73.86416666666668,162.89999999999998,257.1000000000001,306.4,554.0333333333333,1.0,4,70,0,0.0,120,753.675,96.67
keda,baseline,IO,12.425,2.7885193806273714,22.674166666666668,36.14,38.06700000000001,45.9,88.33333333333333,1.0,0,24,0,0.0,120,1418.5333333333333,100.0
llama-70b,cot,CPU,8.8,6.031569607720127,118.3725,188.14999999999998,290.92000000000024,5019.6,306.03333333333336,0.9958333333333333,4,14,81816,46752.45333333334,120,753.675,96.67
llama-70b,cot,IO,3.975,1.4287709944640705,26.822499999999998,37.315,39.867000000000004,41.2,58.583333333333336,1.0,0,2,77529,43979.6025,120,1418.5333333333333,100.0
llama-70b,domain,CPU,7.2,3.7942902703222625,90.41499999999999,196.70999999999998,236.90400000000005,284.8,415.7,1.0,5,18,33265,15789.495833333332,120,753.675,95.83
llama-70b,domain,IO,1.35,0.7631205286037528,26.488333333333333,37.41,39.529,46.3,85.23333333333333,1.0,0,1,33464,8184.156666666667,120,1418.5333333333333,100.0
llama-70b,history_5,CPU,10.566666666666666,3.245509718570155,64.75833333333334,116.84999999999998,178.95100000000002,207.7,346.78333333333336,1.0,1,45,42885,25010.778333333332,120,753.675,99.17
llama-70b,history_5,IO,8.175,1.8134071186998406,26.09416666666667,36.91,37.7,38.1,65.1,1.0,0,17,43464,18963.1375,120,1418.5333333333333,100.0
llama-70b,zero_shot,CPU,8.091666666666667,1.7247376287294207,76.00416666666666,159.35999999999999,227.5670000000001,241.7,502.2916666666667,1.0,2,4,23665,7317.206666666667,120,753.675,98.33
llama-70b,zero_shot,IO,3.0,0.0,25.215,35.93,38.086000000000006,47.5,66.05,1.0,0,0,23864,16789.165833333333,120,1418.5333333333333,100.0
llama-8b,cot,CPU,14.633333333333333,4.43995104321055,66.82833333333333,119.86,166.639,272.3,528.1083333333333,1.0,1,16,56878,3654.9491666666668,120,753.675,99.17
llama-8b,cot,IO,3.0,0.0,25.014166666666664,37.44,40.510000000000005,40.7,77.55,1.0,0,0,55861,3251.0741666666668,120,1418.5333333333333,100.0
llama-8b,domain,CPU,13.9,2.711320804368542,61.607499999999995,111.98499999999999,131.82500000000002,309.8,552.475,1.0,1,7,34105,611.1908333333333,120,753.675,99.17
llama-8b,domain,IO,3.0,0.0,24.51833333333333,36.515,38.49100000000001,42.3,75.975,1.0,0,0,34381,3080.3575,120,1418.5333333333333,100.0
llama-8b,history_5,CPU,14.225,2.7207960402126745,60.5125,114.80499999999999,160.63100000000009,200.4,549.675,1.0,1,39,44895,585.3908333333333,120,753.675,99.17
llama-8b,history_5,IO,7.716666666666667,1.2714269977644252,21.875833333333333,35.41,37.434000000000005,53.7,83.90833333333333,1.0,0,29,45474,608.1758333333333,120,1418.5333333333333,100.0
llama-8b,zero_shot,CPU,9.991666666666667,3.3140795478231544,81.77666666666667,188.95,441.61100000000016,475.2,538.3666666666667,1.0,4,4,24505,539.6525,120,753.675,96.67
llama-8b,zero_shot,IO,3.0,0.0,21.65083333333333,36.225,38.043,38.1,78.0,1.0,0,0,24704,522.4866666666667,120,1418.5333333333333,100.0
mistral-small4,cot,CPU,10.475,2.579696093103432,75.33583333333333,165.90999999999997,282.42800000000005,372.0,558.3916666666667,1.0,3,3,30957,311.07666666666665,120,753.675,97.5
mistral-small4,cot,IO,3.0,0.0,23.703333333333333,36.215,39.762,40.1,80.46666666666667,1.0,0,0,30206,284.53583333333336,120,1418.5333333333333,100.0
mistral-small4,domain,CPU,10.066666666666666,2.7030432066526076,81.36166666666666,185.00499999999994,269.04700000000014,376.9,554.5833333333334,1.0,6,26,35492,292.20750000000004,120,753.675,95.0
mistral-small4,domain,IO,3.0,0.0,22.508333333333333,35.805,37.772000000000006,38.0,78.84166666666667,1.0,0,0,35499,304.34583333333336,120,1418.5333333333333,100.0
mistral-small4,history_5,CPU,10.825,2.4654332975235436,78.1275,165.32999999999998,220.16200000000006,588.3,553.1333333333333,1.0,2,22,46575,404.0433333333333,120,753.675,98.33
mistral-small4,history_5,IO,3.0,0.0,22.91166666666667,35.015,37.543,38.2,80.68333333333334,1.0,0,0,46145,329.06666666666666,120,1418.5333333333333,100.0
mistral-small4,zero_shot,CPU,9.591666666666667,4.429647696091031,85.33916666666667,182.07499999999996,324.6180000000001,658.8,558.9,1.0,5,6,24240,293.8941666666667,120,753.675,95.83
mistral-small4,zero_shot,IO,3.0,0.0,24.5275,36.405,38.342999999999996,39.2,88.28333333333333,1.0,0,0,24220,278.27000000000004,120,1418.5333333333333,100.0
ppo,baseline,CPU,8.025,0.5260044413015041,73.32833333333333,147.90499999999992,210.27700000000007,297.2,549.075,1.0,2,11,0,0.0,120,753.675,98.33
ppo,baseline,IO,7.966666666666667,0.46622628280558304,22.779999999999998,35.9,37.281,37.7,84.94166666666666,1.0,0,3,0,0.0,120,1418.5333333333333,100.0
qwen3-80b,cot,CPU,4.45,4.965172824431249,174.32333333333332,309.95,679.8380000000004,5007.4,246.39166666666668,0.9833333333333333,12,26,65936,88233.00833333333,120,753.675,90.0
qwen3-80b,cot,IO,2.066666666666667,3.337420463492734,29.00583333333333,36.005,38.081,42.8,39.733333333333334,1.0,0,4,45942,81515.05833333333,120,1418.5333333333333,100.0
qwen3-80b,domain,CPU,6.658333333333333,4.281081763342738,198.28333333333333,379.41499999999996,3871.857000000009,4641.3,553.2916666666666,0.9924999999999999,19,67,34520,729.1758333333333,120,753.675,84.17
qwen3-80b,domain,IO,1.975,1.657488735274851,25.1275,36.0,37.629,40.3,77.4,1.0,0,56,34600,749.2008333333334,120,1418.5333333333333,100.0
qwen3-80b,history_5,CPU,8.6,1.884924713740735,89.805,194.12,614.5720000000008,876.5,486.625,1.0,5,59,45156,22222.584166666667,120,753.675,95.83
qwen3-80b,history_5,IO,1.5083333333333333,0.5940295855084861,25.210833333333333,36.525,40.11600000000001,42.6,70.86666666666666,1.0,0,26,45315,19565.5475,120,1418.5333333333333,100.0
qwen3-80b,zero_shot,CPU,8.116666666666667,2.7537089834014967,106.88916666666667,285.41999999999996,396.177,459.9,910.4166666666666,1.0,10,18,23434,666.6008333333334,120,753.675,91.67
qwen3-80b,zero_shot,IO,3.0,0.0,21.449166666666667,37.725,43.010000000000005,53.1,126.66666666666667,1.0,0,0,23394,767.575,120,1418.5333333333333,100.0
