workload,model,variant,label,cls,mean_p50,mean_p90,mean_p99,sla_p50,sla_p90,sla_p99,mean_mean,n_steps,n_reps,tail_ratio
cpu,gpt-oss-120b,zero_shot,gpt-oss-120b_zero_shot,LLM,8.3,19.4,23.0,100.0,100.0,100.0,10.4,120.0,3,2.77
cpu,rl-ppo,baseline,PPO,PPO,7.2,17.1,23.4,100.0,100.0,100.0,9.2,120.0,3,3.25
cpu,gpt-oss-120b,history_5,gpt-oss-120b_history_5,LLM,13.1,22.0,23.7,100.0,100.0,100.0,13.7,120.0,3,1.81
cpu,rl-dqn,baseline,DQN,DQN,15.4,23.4,26.4,100.0,100.0,100.0,15.9,120.0,3,1.71
cpu,llama-70b,cot,llama-70b_cot,LLM,27.6,34.7,48.3,100.0,100.0,98.3,29.3,120.0,3,1.75
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,19.5,42.9,63.8,100.0,100.0,95.8,25.0,120.0,3,3.27
cpu,llama-70b,history_5,llama-70b_history_5,LLM,36.3,54.3,75.4,100.0,100.0,96.4,39.9,120.0,3,2.08
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,20.3,69.7,88.4,100.0,99.4,97.2,31.8,120.0,3,4.35
cpu,llama-8b,history_5,llama-8b_history_5,LLM,37.6,75.9,111.0,100.0,100.0,94.7,46.4,120.0,3,2.95
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,38.0,77.0,123.3,100.0,100.0,87.0,47.1,120.0,3,3.24
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,37.8,77.1,123.7,100.0,100.0,85.3,46.8,120.0,3,3.27
cpu,mistral-small4,domain,mistral-small4_domain,LLM,45.2,80.2,126.8,100.0,100.0,91.1,52.9,120.0,3,2.81
cpu,mistral-small4,cot,mistral-small4_cot,LLM,45.1,92.2,137.2,100.0,99.7,92.5,55.7,120.0,3,3.04
cpu,llama-8b,domain,llama-8b_domain,LLM,47.6,103.1,156.6,100.0,100.0,91.1,59.9,120.0,3,3.29
cpu,keda,baseline,KEDA,KEDA,47.5,103.0,158.0,100.0,100.0,88.9,60.0,120.0,3,3.33
cpu,llama-70b,domain,llama-70b_domain,LLM,46.7,97.1,158.6,100.0,100.0,76.7,58.2,120.0,3,3.4
cpu,llama-8b,cot,llama-8b_cot,LLM,57.0,130.7,185.9,99.7,99.4,90.8,69.9,120.0,3,3.26
cpu,gpt-oss-120b,domain,gpt-oss-120b_domain,LLM,91.3,219.6,338.6,98.9,96.9,52.2,108.4,120.0,3,3.71
cpu,hpa,baseline,HPA,HPA,60.5,251.8,494.9,99.4,88.6,37.8,106.1,120.0,3,8.18
cpu,gpt-oss-120b,cot,gpt-oss-120b_cot,LLM,406.4,1233.9,1610.2,88.1,67.8,9.2,522.3,120.0,3,3.96
